H_UNCERTAINTY_REVIEW
2016-01-01,HIGH_UNCERTAINTY_REVIEW
2016-02-01,HIGH_UNCERTAINTY_REVIEW
2016-03-01,HIGH_UNCERTAINTY_REVIEW
2016-04-01,HIGH_UNCERTAINTY_REVIEW
2016-05-01,HIGH_UNCERTAINTY_REVIEW
2016-06-01,HIGH_UNCERTAINTY_REVIEW
2016-07-01,NORMAL
2016-08-01,NORMAL
2016-09-01,NORMAL
2016-10-01,HIGH_UNCERTAINTY_REVIEW
2016-11-01,HIGH_UNCERTAINTY_REVIEW
2016-12-01,NORMAL
2017-01-01,NORMAL
2017-02-01,NORMAL
2017-03-01,NORMAL
2017-04-01,NORMAL
2017-05-01,NORMAL
2017-06-01,NORMAL
2017-07-01,NORMAL
2017-08-01,NORMAL
2017-09-01,NORMAL
2017-10-01,NORMAL
2017-11-01,NORMAL
2017-12-01,NORMAL
2018-01-01,NORMAL
2018-02-01,NORMAL
2018-03-01,HIGH_UNCERTAINTY_REVIEW
2018-04-01,NORMAL
2018-05-01,HIGH_UNCERTAINTY_REVIEW
2018-06-01,HIGH_UNCERTAINTY_REVIEW
2018-07-01,HIGH_UNCERTAINTY_REVIEW
2018-08-01,HIGH_UNCERTAINTY_REVIEW
2018-09-01,HIGH_UNCERTAINTY_REVIEW
2018-10-01,NORMAL
2018-11-01,HIGH_UNCERTAINTY_REVIEW
2018-12-01,HIGH_UNCERTAINTY_REVIEW
month,posture
2008-06-01,HIGH_UNCERTAINTY_REVIEW
2008-07-01,HIGH_UNCERTAINTY_REVIEW
2008-08-01,CAUTIOUS
2008-09-01,HIGH_UNCERTAINTY_REVIEW
2008-10-01,DEFENSIVE
2008-11-01,DEFENSIVE
2008-12-01,DEFENSIVE
2009-01-01,DEFENSIVE
2009-02-01,DEFENSIVE
2009-03-01,DEFENSIVE
2009-04-01,DEFENSIVE
2009-05-01,DEFENSIVE
2009-06-01,DEFENSIVE
2009-07-01,HIGH_UNCERTAINTY_REVIEW
2009-08-01,HIGH_UNCERTAINTY_REVIEW
2009-09-01,CAUTIOUS
2009-10-01,HIGH_UNCERTAINTY_REVIEW
2009-11-01,CAUTIOUS
2009-12-01,CAUTIOUS
2010-01-01,CAUTIOUS
2010-02-01,CAUTIOUS
2010-03-01,CAUTIOUS
2010-04-01,HIGH_UNCERTAINTY_REVIEW
2010-05-01,HIGH_UNCERTAINTY_REVIEW
2010-06-01,DEFENSIVE
2010-07-01,HIGH_UNCERTAINTY_REVIEW
2010-08-01,HIGH_UNCERTAINTY_REVIEW
2010-09-01,CAUTIOUS
2010-10-01,HIGH_UNCERTAINTY_REVIEW
2010-11-01,HIGH_UNCERTAINTY_REVIEW
2010-12-01,CAUTIOUS
2011-01-01,CAUTIOUS
2011-02-01,NORMAL
2011-03-01,NORMAL
2011-04-01,HIGH_UNCERTAINTY_REVIEW
2011-05-01,HIGH_UNCERTAINTY_REVIEW
2011-06-01,HIGH_UNCERTAINTY_REVIEW
2011-07-01,NORMAL
2011-08-01,HIGH_UNCERTAINTY_REVIEW
2011-09-01,CAUTIOUS
2011-10-01,HIGH_UNCERTAINTY_REVIEW
2011-11-01,HIGH_UNCERTAINTY_REVIEW
2011-12-01,HIGH_UNCERTAINTY_REVIEW
2012-01-01,HIGH_UNCERTAINTY_REVIEW
2012-02-01,HIGH_UNCERTAINTY_REVIEW
2012-03-01,HIGH_UNCERTAINTY_REVIEW
2012-04-01,HIGH_UNCERTAINTY_REVIEW
2012-05-01,HIGH_UNCERTAINTY_REVIEW
2012-06-01,CAUTIOUS
2012-07-01,CAUTIOUS
2012-08-01,NORMAL
2012-09-01,NORMAL
2012-10-01,NORMAL
2012-11-01,NORMAL
2012-12-01,NORMAL
2013-01-01,NORMAL
2013-02-01,NORMAL
2013-03-01,NORMAL
2013-04-01,NORMAL
2013-05-01,NORMAL
2013-06-01,NORMAL
2013-07-01,HIGH_UNCERTAINTY_REVIEW
2013-08-01,HIGH_UNCERTAINTY_REVIEW
2013-09-01,CAUTIOUS
2013-10-01,CAUTIOUS
2013-11-01,CAUTIOUS
2013-12-01,NORMAL
2014-01-01,NORMAL
2014-02-01,NORMAL
2014-03-01,HIGH_UNCERTAINTY_REVIEW
2014-04-01,HIGH_UNCERTAINTY_REVIEW
2014-05-01,HIGH_UNCERTAINTY_REVIEW
2014-06-01,HIGH_UNCERTAINTY_REVIEW
2014-07-01,HIGH_UNCERTAINTY_REVIEW
2014-08-01,HIGH_UNCERTAINTY_REVIEW
2014-09-01,HIGH_UNCERTAINTY_REVIEW
2014-10-01,HIGH_UNCERTAINTY_REVIEW
2014-11-01,HIGH_UNCERTAINTY_REVIEW
2014-12-01,HIGH_UNCERTAINTY_REVIEW
2015-01-01,HIGH_UNCERTAINTY_REVIEW
2015-02-01,HIGH_UNCERTAINTY_REVIEW
2015-03-01,HIGH_UNCERTAINTY_REVIEW
2015-04-01,HIGH_UNCERTAINTY_REVIEW
2015-05-01,NORMAL
2015-06-01,NORMAL
2015-07-01,NORMAL
2015-08-01,NORMAL
2015-09-01,CAUTIOUS
2015-10-01,CAUTIOUS
2015-11-01,HIGH_UNCERTAINTY_REVIEW
2015-12-01,HIG
