month,total_loans,total_defaults,stealth_defaults,captured_defaults,realized_default_rate,stealth_default_rate,macro_stress_score,uncertainty_pressure,liquidity_disruption,unemployment_rate,fed_funds_rate,cpi_inflation,treasury_spread,recession_indicator,spy_monthly_return,spy_monthly_vol,vix_monthly_mean
2007-06-01,1,0,0,0,0.0,0.0,0.172,0.03,0.0,4.6,5.25,2.692765113974227,0.12238095238095237,0.0,-0.014620463431982866,0.14686890682244555,14.947618938627697
2007-07-01,30,0,0,0,0.0,0.0,0.167,0.04,0.04,4.7,5.26,2.3178905864958077,0.18523809523809526,0.0,-0.0313105441984346,0.17189470970010032,17.273333277021134
2007-08-01,33,7,5,2,0.21212121212121213,0.7142857142857143,0.242,0.09,0.37,4.6,5.02,1.897448478900876,0.3617391304347826,0.0,0.012832685575839164,0.22493749149378198,25.026086724322774
2007-09-01,18,3,3,0,0.16666666666666666,1.0,0.267,0.17,0.27,4.7,4.94,2.8338264299802685,0.51,0.0,0.038714481503210996,0.14781279271775136,22.19894740456029
2007-10-01,47,10,8,2,0.2127659574468085,0.8,0.2355,0.22,0.0,4.7,4.76,3.610698365527476,0.56,0.0,0.013567209835607885,0.13934616035076453,19.115652084350586
2007-11-01,37,7,7,0,0.1891891891891892,1.0,0.2635,0.23,0.3,4.7,4.49,4.373267326732666,0.8119999999999999,0.0,-0.038732940188149545,0.26622737171445066,25.582380930582683
2007-12-01,85,18,15,3,0.21176470588235294,0.8333333333333334,0.4295,0.23,0.54,5.0,4.24,4.108813392417532,0.9804999999999999,0.0,-0.0112607818802134,0.17985711839279855,21.651000022888184
2008-01-01,171,31,27,4,0.18128654970760233,0.8709677419354839,0.2269999999999999,0.25,0.0,5.0,3.94,4.294695655165981,1.2685714285714287,1.0,-0.06046092909960643,0.22533813750206555,25.816190719604492
2008-02-01,174,25,19,6,0.14367816091954022,0.76,0.3025,0.26,0.07,4.9,2.98,4.142959270611968,1.7645,1.0,-0.025842747488171725,0.1813395578592436,25.456000137329102
2008-03-01,236,40,37,3,0.1694915254237288,0.925,0.2845,0.29,0.19,5.1,2.61,3.9749035501344343,1.893,1.0,-0.008942088155301953,0.27828744526419047,27.103500080108642
2008-04-01,155,27,26,1,0.17419354838709677,0.9629629629629629,0.491,0.3,0.53,5.0,2.28,3.9037609759888126,1.627727272727273,1.0,0.04766213057706148,0.17701223212619618,21.562727321277965
2008-05-01,71,10,10,0,0.14084507042253522,1.0,0.2714999999999999,0.32,0.1,5.4,1.98,4.088413823123993,1.4342857142857142,1.0,0.015116721202817152,0.1499007340289824,18.303333009992325
2008-06-01,66,7,7,0,0.10606060606060606,1.0,0.237,0.32,0.0,5.6,2.0,4.935966105947864,1.3257142857142856,1.0,-0.08357586467834133,0.18852818989828243,22.11047617594401
2008-07-01,83,17,17,0,0.20481927710843373,1.0,0.288,0.33,0.28,5.8,2.01,5.497512078341837,1.4345454545454546,1.0,-0.00898582818994631,0.2196233365930214,24.32136362249201
2008-08-01,71,6,6,0,0.08450704225352113,1.0,0.2945,0.31,0.11,6.1,2.0,5.308017162091239,1.4652380952380952,1.0,0.015453636338614407,0.19648454515477717,20.695714133126394
2008-09-01,32,5,5,0,0.15625,1.0,0.251,0.31,0.07,6.1,1.81,4.953319875136075,1.61,1.0,-0.09417357962913053,0.48009786215812517,30.238571348644438
2008-10-01,96,15,15,0,0.15625,1.0,0.598,0.33,1.0,6.5,0.97,3.7310578899565128,2.2018181818181817,1.0,-0.16518650265972556,0.8980481072639076,61.1773912181025
2008-11-01,184,31,26,5,0.16847826086956522,0.8387096774193549,0.7394999999999999,0.38,1.0,6.8,0.39,1.0999174706166848,2.3138888888888887,1.0,-0.06960683757713049,0.7093403482578681,62.639473362972865
2008-12-01,223,33,26,7,0.14798206278026907,0.7878787878787878,0.747,0.42,1.0,7.3,0.16,-0.02222800255385904,1.5954545454545455,1.0,0.009796508373349777,0.4597889024725656,52.405000166459516
2009-01-01,239,28,24,4,0.11715481171548117,0.8571428571428571,0.5665,0.45,0.0,7.8,0.15,-0.11358601902212717,1.7105000000000001,1.0,-0.08211471998753261,0.38739056372563047,44.68300018310547
2009-02-01,260,34,26,8,0.13076923076923078,0.7647058823529411,0.544,0.43,0.07,8.3,0.22,0.008463140671510772,1.894736842105263,1.0,-0.10744865593691755,0.34451682853524074,45.57052592227333
2009-03-01,276,31,24,7,0.11231884057971014,0.7741935483870968,0.6275000000000001,0.44,0.13,8.7,0.18,-0.4464787676623838,1.8881818181818182,1.0,0.08331079005341135,0.477874856215391,44.7954548922452
2009-04-01,290,40,33,7,0.13793103448275862,0.825,0.546,0.46,0.06,9.0,0.15,-0.5763244243767063,2.0,1.0,0.09934620685342943,0.29470381039690824,38.063809349423366
2009-05-01,319,42,40,2,0.13166144200626959,0.9523809523809523,0.601,0.5,0.0,9.4,0.18,-1.015761495855172,2.3635,1.0,0.05845336069706386,0.27584113051755427,31.97799997329712
2009-06-01,356,43,38,5,0.12078651685393259,0.8837209302325582,0.491,0.47,0.0,9.5,0.21,-1.2291746182109153,2.5377272727272726,1.0,-0.0006547847874989188,0.19889638423456182,29.140454725785688
2009-07-01,374,47,39,8,0.12566844919786097,0.8297872340425532,0.3505,0.48,0.0,9.5,0.16,-1.9587610037622771,2.5431818181818184,0.0,0.07460542943613757,0.19865704359665606,26.16272735595703
2009-08-01,408,40,32,8,0.09803921568627451,0.8,0.3395,0.49,0.0,9.6,0.16,-1.4838355663267633,2.4719047619047623,0.0,0.0369398079757115,0.16404913988204298,25.33714285350981
2009-09-01,449,57,41,16,0.12694877505567928,0.7192982456140351,0.316,0.49,0.0,9.8,0.15,-1.377942862886472,2.4457142857142857,0.0,0.03545718913861928,0.15142204660214897,24.926666713896253
2009-10-01,545,87,72,15,0.1596330275229358,0.8275862068965517,0.279,0.46,0.0,10.0,0.12,-0.22396829420033848,2.4385714285714286,0.0,-0.01922531921890247,0.21199998211796883,24.252272865988992
2009-11-01,602,83,68,15,0.1378737541528239,0.8192771084337349,0.315,0.44,0.0,9.9,0.12,1.9145871744709275,2.599473684210526,0.0,0.06160650365555442,0.15256469059722988,23.783499908447265
2009-12-01,598,62,47,15,0.10367892976588629,0.7580645161290323,0.2945,0.44,0.0,9.9,0.12,2.8141231232083674,2.7154545454545453,0.0,0.019101231510327388,0.10435773015303564,21.239545475352894
2010-01-01,589,76,61,15,0.12903225806451613,0.8026315789473685,0.2764999999999999,0.43,0.0,9.8,0.11,2.6211113889767157,2.8042105263157895,0.0,-0.03634241357640844,0.16699427778558745,20.643157758210833
2010-02-01,627,63,47,16,0.10047846889952153,0.746031746031746,0.265,0.42,0.0,9.8,0.13,2.151336357866529,2.8342105263157897,0.0,0.03119450484039521,0.17486479588796458,22.540000012046413
2010-03-01,737,69,61,8,0.09362279511533243,0.8840579710144928,0.282,0.44,0.0,9.9,0.16,2.2861714393279886,2.7686956521739132,0.0,0.06088012770035478,0.07551817385842281,17.767391287762187
2010-04-01,827,82,62,20,0.09915356711003627,0.7560975609756098,0.286,0.47,0.0,9.9,0.2,2.2067707525304403,2.786363636363636,0.0,0.015469455305196611,0.1506472522847242,17.42428566160656
2010-05-01,920,125,80,45,0.1358695652173913,0.64,0.2575,0.45,0.0,9.6,0.2,2.003548929218568,2.5895,0.0,-0.07945458404092853,0.3202867610270405,31.929500007629393
